,Time,omg,Q,S,F0,FEst,Flux
0,54704.26937940029,0.04110334297910183,72887493539547.42,0.029625619256141194,0.0065445474484623995,0.006541800212725607,0.1226649954915046
1,54728.42857503522,0.04106152273400069,76781697881209.6,0.029625629763592953,0.0065351596267573,0.006535144313996446,0.1338787525892257
2,54735.99611699724,0.0410407319718692,83332642476351.86,0.029436676448204274,0.0065318219649404,0.006531835361432571,0.1672569811344146
3,54744.08629428025,0.041020452256259304,81866048074895.58,0.029457000822262592,0.0065286089784171,0.006528607744448759,0.1632396131753921
4,54752.08698000979,0.04100103816133802,80508033607223.31,0.029475334531599173,0.006525520596261,0.0065255178952763815,0.1041158735752105
5,54768.302206486405,0.040962217372513925,79361546509707.92,0.029477935660102476,0.0065193393052582005,0.006519339374840299,0.1351291984319687
6,54775.924821282904,0.040942811823361916,81390882010277.12,0.029414729709986126,0.0065162480654862,0.006516250885769345,0.1688940674066543
7,54783.98977936482,0.04092103826388935,83437734356621.08,0.029331274200149526,0.006512783074446999,0.00651278551615058,0.217131420969963
8,54791.905364762846,0.040898505177168476,85676588240048.45,0.029227644238729537,0.006509196526145,0.006509199264015835,0.2103740274906158
9,54800.43286740223,0.04087610917539657,83881365879469.84,0.029260450948813698,0.006505636715868501,0.006505634829628342,0.1321711540222168
10,54808.10353160583,0.04085760239124464,80959388126773.73,0.029331890216558614,0.0065026959511839,0.006502689383449827,0.1203263029456138
11,54815.71615696654,0.04084093416677687,77564116086765.61,0.029414311644502242,0.0065000455397795,0.006500036553133217,0.1160139217972755
12,54824.49397982078,0.040819428823879685,79295523492980.23,0.029357102634755064,0.006496612344545001,0.006496613871508243,0.2558659017086029
13,54831.88965560056,0.040797047396254914,87097086392680.78,0.029070611811107983,0.0064930493548883,0.0064930517566683076,0.4176483452320099
14,54840.02327865871,0.040771640807883806,89395650832896.08,0.02886805364154571,0.0064890070710723,0.006489008172541945,0.3768487870693207
15,54847.90630671423,0.04074937673003391,87060044104159.36,0.028933151562706715,0.006485465492463001,0.006485464734498751,0.2464797049760818
16,54856.21241581519,0.040728569327426474,83008579289004.7,0.029061689096538734,0.0064821625680727,0.006482153133520874,0.1154647171497345
17,54912.18970073818,0.040610665677689194,79626159975776.39,0.029239467583223544,0.006463389253271999,0.0064633881848566105,0.1233352869749069
18,54919.82588863717,0.04059367109143168,76608993224510.33,0.02937568901358379,0.0064606854584281,0.006460683412447926,0.1103455796837806
19,54936.242201642825,0.040554716965134435,77422351124086.66,0.02928515071246974,0.0064544820591901,0.006454483670693893,0.1732347756624221
20,54944.04098936617,0.040536837394168544,77580898845297.56,0.029265107465958725,0.0064516374995634,0.006451638048594309,0.1532460302114486
21,54952.146286295334,0.040516622223603166,79991978133022.14,0.029130503678632756,0.0064484110154126,0.006448420704273383,0.1353508979082107
22,54959.55489505264,0.040501258092519934,75970489553851.7,0.02934049596095977,0.0064459904431564,0.006445975426865175,0.1475894302129745
23,54967.8964473208,0.04048266318602925,76422089970554.83,0.029315688868882236,0.0064430146008581,0.006443015955580851,0.133729800581932
24,54975.85987325171,0.04046486072378938,76676725014624.86,0.029293076040551914,0.0064401812358839995,0.006440182605716169,0.1179195865988731
25,54984.07356698425,0.040446723628124605,76425877781188.72,0.029293023639295635,0.0064372958106586,0.00643729599728779,0.1927432417869568
26,54991.986340354204,0.04042730717049306,79272672019427.55,0.029136990732872414,0.0064342036766166,0.006434205772078395,0.2573505938053131
27,54999.989460779485,0.040406937504954776,81037027607264.61,0.028987189920946257,0.0064309626179071995,0.006430963839118849,0.287048876285553
28,55007.948347419144,0.04038595109327023,82531007674783.56,0.02884324111937759,0.006427622257242599,0.006427623747961491,0.2589738368988037
29,55016.17559456317,0.040366069281005064,80570245154436.8,0.028936233118463255,0.006424461471961901,0.006424459459261865,0.2061500549316406
30,55023.93320786714,0.04034760966920874,79532275704370.42,0.028965286881310812,0.006421522334679,0.006421521520796922,0.1798297017812729
31,55031.911181198295,0.04033038787524997,76757020695576.42,0.029087572044420536,0.006418787850995701,0.006418780587159475,0.1081995069980621
32,55039.999873501496,0.04031248902404175,76447420510776.94,0.02909180305549806,0.006415931795362599,0.00641593189651402,0.1177784949541091
